word|count
คณะกรรมการประชาชนเพื่อการเปลี่ยนแปลงประเทศไทยให้เป็นประชาธิปไตยที่สมบูรณ์อันมีพระมหากษัตริย์ทรงเป็นประมุข|47
สำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา|13
คณะกรรมการประสานงานระหว่างประเทศว่าด้วยสถาบันสิทธิมนุษยชนแห่งชาติ|0
สนธิสัญญาเขตปลอดอาวุธนิวเคลียร์ในภูมิภาคเอเชียตะวันออกเฉียงใต้|0
ภาพยนตร์เป็นสื่ออย่างหนึ่งที่ไปถึงได้ทุกที่โดยไร้ขอบเขตจำกัด|0
โครงการพัฒนาความร่วมมือทางเศรษฐกิจในอนุภูมิภาคลุ่มแม่น้ำโขง|3
คณะกรรมการตรวจสอบการกระทำที่ก่อให้เกิดความเสียหายแก่รัฐ|44
สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ|177
สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตในภาครัฐ|21
การสำรวจความคิดเห็นจากประชาชนที่เพิ่งลงคะแนนเสร็จสด|0
ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย|83
ข้อตกลงทั่วไปว่าด้วยพิกัดอัตราภาษีศุลกากรและการค้า|0
สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์|73
สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม|34
กายวิภาคศาสตร์เปรียบเทียบของสัตว์มีกระดูกสันหลัง|0
องค์การกระจายเสียงและแพร่ภาพสาธารณะแห่งประเทศไทย|199
ที่ใส่หมวกโพกศรีษะของชาวมุสลิมในตอนใต้ของเอเซีย|0
มาตราระหว่างประเทศว่าด้วยเหตุการณ์ทางนิวเคลียร์|9
สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย|231
กฎหมายเกี่ยวกับการกระทำความผิดของเด็กและเยาวชน|0
ศาลทรัพย์สินทางปัญญาและการค้าระหว่างประเทศกลาง|22
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง|682
